bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
"IFC, Two",CENTRAL,20399340,156918,20399340,130,22.2852514,114.15931,0.0,6.0,9.0
Three Garden Road - Champion Tower,CENTRAL,3116151,33507,3116151,93,22.2784355,114.160606,1.0,4.0,10.0
"IFC, One",CENTRAL,2963800,21170,2963800,140,22.2849042,114.1569078,0.0,7.0,15.0
"IFC, One",CENTRAL,2963800,21170,2963800,140,22.2849042,114.1569078,0.0,7.0,15.0
International Commerce Centre (ICC),TSIM SHA TSUI,2880810,32009,2880810,90,22.3034032,114.1601907,1.0,3.0,13.0
International Commerce Centre (ICC),TSIM SHA TSUI,2875770,31953,2875770,90,22.3034032,114.1601907,1.0,3.0,13.0
Cheung Kong Center,CENTRAL,2860780,22006,2860780,130,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2827305,20943,2827305,135,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2827305,20943,2827305,135,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2827305,20943,2827305,135,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2827305,20943,2827305,135,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2827305,20943,2827305,135,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2568625,20549,2568625,125,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2519625,20157,2519625,125,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,2215950,14773,2215950,150,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center II,CENTRAL,1903000,17300,1903000,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,1897940,17254,1897940,110,22.2810482,114.1626069,1.0,3.0,8.0
Fairmont House,CENTRAL,1800088,22760,1800088,79,22.2799508,114.1626534,1.0,2.0,10.0
Three Garden Road - Champion Tower,CENTRAL,1628895,17515,1628895,93,22.2784355,114.160606,1.0,4.0,10.0
"Nathan Road, 352",JORDAN,1617300,16173,1617300,100,22.3071255,114.171608,3.0,6.0,20.0
International Commerce Centre (ICC),TSIM SHA TSUI,1584300,21124,1584300,75,22.3034032,114.1601907,1.0,3.0,13.0
