bldg_name,district,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m,nearest_mtr_distance_m,nearest_mtr_name,stations_within_1km
"IFC, Two",CENTRAL,156918,20399340,130,22.29,114.16,0,6,9,161.56,Hong Kong,4
Three Garden Road - Champion Tower,CENTRAL,33507,3116151,93,22.28,114.16,1,4,10,420.98,Admiralty,3
"IFC, One",CENTRAL,21170,2963800,140,22.28,114.16,0,7,15,131.88,Hong Kong,4
"IFC, One",CENTRAL,21170,2963800,140,22.28,114.16,0,7,15,131.88,Hong Kong,4
International Commerce Centre (ICC),TSIM SHA TSUI,32009,2880810,90,22.3,114.16,1,3,13,165.93,Kowloon,2
International Commerce Centre (ICC),TSIM SHA TSUI,31953,2875770,90,22.3,114.16,1,3,13,165.93,Kowloon,2
Cheung Kong Center,CENTRAL,22006,2860780,130,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20943,2827305,135,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20943,2827305,135,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20943,2827305,135,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20943,2827305,135,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20943,2827305,135,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20549,2568625,125,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,20157,2519625,125,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,14773,2215950,150,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center II,CENTRAL,17300,1903000,110,22.28,114.16,1,3,8,271.01,Admiralty,3
Cheung Kong Center II,CENTRAL,17254,1897940,110,22.28,114.16,1,3,8,271.01,Admiralty,3
Fairmont House,CENTRAL,22760,1800088,79,22.28,114.16,1,2,10,205.02,Admiralty,3
Three Garden Road - Champion Tower,CENTRAL,17515,1628895,93,22.28,114.16,1,4,10,420.98,Admiralty,3
"Nathan Road, 352",JORDAN,16173,1617300,100,22.31,114.17,3,6,20,259.75,Jordan,4
International Commerce Centre (ICC),TSIM SHA TSUI,21124,1584300,75,22.3,114.16,1,3,13,165.93,Kowloon,2
Three Garden Road - ICBC Tower,CENTRAL,16679,1551147,93,22.28,114.16,1,3,10,386.65,Admiralty,3
Euro Trade Centre,CENTRAL,26727,1499919,56,22.28,114.16,6,3,20,108.76,Central,4
Three Garden Road - ICBC Tower,CENTRAL,15992,1487256,93,22.28,114.16,1,3,10,386.65,Admiralty,3
Chinachem Golden Plaza,TSIM SHA TSUI,41280,1444800,35,22.3,114.17,3,6,20,43.61,Tsim Sha Tsui,3
International Commerce Centre (ICC),TSIM SHA TSUI,18682,1438514,77,22.3,114.16,1,3,13,165.93,Kowloon,2
