bldg_name,district,sq_ft,price
"IFC, Two",CENTRAL,"IFC, Two
CENTRAL
Rental: HKD 20,399,340 / 130 p.s.f.
Size: 156,918 s.f.
Fully Fitted, Sea View
Prop.#: 90471","20,399,340"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 3,116,151 / 93 p.s.f.
Size: 33,507 s.f.
Bare Shell, High Floor, Open View
Prop.#: 84277","3,116,151"
"IFC, One",CENTRAL,"IFC, One
CENTRAL
Rental: HKD 2,963,800 / 140 p.s.f.
Size: 21,170 s.f.
Mid Floor
Prop.#: 82360","2,963,800"
"IFC, One",CENTRAL,"IFC, One
CENTRAL
Rental: HKD 2,963,800 / 140 p.s.f.
Size: 21,170 s.f.
High Floor
Prop.#: 91375","2,963,800"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 2,880,810 / 90 p.s.f.
Size: 32,009 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 41440","2,880,810"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 2,875,770 / 90 p.s.f.
Size: 31,953 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 40199","2,875,770"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,860,780 / 130 p.s.f.
Size: 22,006 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 58787","2,860,780"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,827,305 / 135 p.s.f.
Size: 20,943 s.f.
Bare Shell, Mid Floor, Sea View
Prop.#: 55197","2,827,305"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,827,305 / 135 p.s.f.
Size: 20,943 s.f.
Mid Floor
Prop.#: 53104","2,827,305"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,827,305 / 135 p.s.f.
Size: 20,943 s.f.
Bare Shell, Mid Floor
Prop.#: 53105","2,827,305"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,827,305 / 135 p.s.f.
Size: 20,943 s.f.
Bare Shell, Mid Floor
Prop.#: 53106","2,827,305"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,827,305 / 135 p.s.f.
Size: 20,943 s.f.
Mid Floor
Prop.#: 53107","2,827,305"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,568,625 / 125 p.s.f.
Size: 20,549 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 55056","2,568,625"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,519,625 / 125 p.s.f.
Size: 20,157 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 76655","2,519,625"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 2,215,950 / 150 p.s.f.
Size: 14,773 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 70333","2,215,950"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 1,903,000 / 110 p.s.f.
Size: 17,300 s.f.
Bare Shell, Mid Floor
Prop.#: 86513","1,903,000"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 1,897,940 / 110 p.s.f.
Size: 17,254 s.f.
Bare Shell, Mid Floor
Prop.#: 86518","1,897,940"
Fairmont House,CENTRAL,"Fairmont House
CENTRAL
Rental: HKD 1,800,088 / 79 p.s.f.
Price: HKD 650.0M / 28,558 p.s.f.
Size: 22,760 s.f.
Bare Shell, Low Floor, City View
Prop.#: 81356","1,800,088"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 1,628,895 / 93 p.s.f.
Size: 17,515 s.f.
Bare Shell, Partial Seaview
Prop.#: 66109","1,628,895"
"Nathan Road, 352",JORDAN,"Nathan Road, 352
JORDAN
Rental: HKD 1,617,300 / 100 p.s.f.
Size: 16,173 s.f.
Bare Shell, Low Floor
Prop.#: 91788","1,617,300"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 1,584,300 / 75 p.s.f.
Size: 21,124 s.f.
Bare Shell, Mid Floor
Prop.#: 88978","1,584,300"
Three Garden Road - ICBC Tower,CENTRAL,"Three Garden Road - ICBC Tower
CENTRAL
Rental: HKD 1,551,147 / 93 p.s.f.
Size: 16,679 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 49856","1,551,147"
Euro Trade Centre,CENTRAL,"Euro Trade Centre
CENTRAL
Rental: HKD 1,499,919 / 56 p.s.f.
Size: 26,727 s.f.
Low Floor
Prop.#: 90892","1,499,919"
Three Garden Road - ICBC Tower,CENTRAL,"Three Garden Road - ICBC Tower
CENTRAL
Rental: HKD 1,487,256 / 93 p.s.f.
Size: 15,992 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 66105","1,487,256"
Chinachem Golden Plaza,TSIM SHA TSUI,"Chinachem Golden Plaza
TSIM SHA TSUI
Rental: HKD 1,444,800 / 35 p.s.f.
Size: 41,280 s.f.
Bare Shell, High Floor, City View
Prop.#: 88059","1,444,800"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 1,438,514 / 77 p.s.f.
Size: 18,682 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 91792","1,438,514"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,385,100 / 150 p.s.f.
Size: 9,234 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 61773","1,385,100"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,383,250 / 125 p.s.f.
Size: 11,066 s.f.
Prop.#: 86228","1,383,250"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,365,650 / 130 p.s.f.
Size: 10,505 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 89805","1,365,650"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,301,040 / 130 p.s.f.
Size: 10,008 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 84395","1,301,040"
United Centre,ADMIRALTY,"United Centre
ADMIRALTY
Rental: HKD 1,256,400 / 40 p.s.f.
Price: HKD 800.0M / 25,469 p.s.f.
Size: 31,410 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 81541","1,256,400"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,184,125 / 125 p.s.f.
Size: 9,473 s.f.
Bare Shell, Mid Floor
Prop.#: 22871","1,184,125"
Kerry Centre,NORTH POINT,"Kerry Centre
NORTH POINT
Rental: HKD 1,161,336 / 33 p.s.f.
Size: 35,192 s.f.
Fully Fitted, High Floor
Prop.#: 70985","1,161,336"
China Resources Building,WAN CHAI,"China Resources Building
WAN CHAI
Rental: HKD 1,147,410 / 55 p.s.f.
Size: 20,862 s.f.
Partially Fitted, High Floor, Sea View
Prop.#: 91861","1,147,410"
Cosco Tower,SHEUNG WAN,"Cosco Tower
SHEUNG WAN
Rental: HKD 1,141,250 / 55 p.s.f.
Size: 20,750 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 19652","1,141,250"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,136,375 / 125 p.s.f.
Size: 9,091 s.f.
Prop.#: 86229","1,136,375"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,133,125 / 125 p.s.f.
Size: 9,065 s.f.
Fully Fitted, Low Floor, Open View
Prop.#: 15174","1,133,125"
International Commerce Centre (ICC),TSIM SHA TSUI,"International Commerce Centre (ICC)
TSIM SHA TSUI
Rental: HKD 1,099,200 / 75 p.s.f.
Size: 14,656 s.f.
Bare Shell, Low Floor
Prop.#: 84815","1,099,200"
Cheung Kong Center,CENTRAL,"Cheung Kong Center
CENTRAL
Rental: HKD 1,088,500 / 125 p.s.f.
Size: 8,708 s.f.
Mid Floor
Prop.#: 76656","1,088,500"
Central Plaza,WAN CHAI,"Central Plaza
WAN CHAI
Rental: HKD 1,059,300 / 55 p.s.f.
Size: 19,260 s.f.
Bare Shell, Mid Floor
Prop.#: 91578","1,059,300"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 1,055,700 / 100 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91984","1,055,700"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 1,055,700 / 100 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91985","1,055,700"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 1,055,700 / 100 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91986","1,055,700"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 1,055,700 / 100 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91987","1,055,700"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 1,055,700 / 100 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91988","1,055,700"
Fairmont House,CENTRAL,"Fairmont House
CENTRAL
Rental: HKD 1,037,582 / 79 p.s.f.
Price: HKD 374.7M / 28,558 p.s.f.
Size: 13,119 s.f.
Bare Shell, Low Floor, City View
Prop.#: 18000","1,037,582"
CITIC Tower,ADMIRALTY,"CITIC Tower
ADMIRALTY
Rental: HKD 1,035,580 / 70 p.s.f.
Size: 14,794 s.f.
Mid Floor
Prop.#: 92081","1,035,580"
Man Yee Building,CENTRAL,"Man Yee Building
CENTRAL
Rental: HKD 1,033,380 / 90 p.s.f.
Size: 11,482 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 40168","1,033,380"
Peninsula Centre,TSIM SHA TSUI,"Peninsula Centre
TSIM SHA TSUI
Rental: HKD 1,030,607 / 23 p.s.f.
Price: HKD 806.6M / 18,000 p.s.f.
Size: 44,809 s.f.
Partially Fitted, Low Floor
Prop.#: 67395","1,030,607"
"IFC, Two",CENTRAL,"IFC, Two
CENTRAL
Rental: HKD 1,028,580 / 140 p.s.f.
Size: 7,347 s.f.
Bare Shell, Low Floor, Sea View
Prop.#: 72632","1,028,580"
Mall Plus,WAN CHAI,"Mall Plus
WAN CHAI
Rental: HKD 990,034 / 59 p.s.f.
Size: 16,823 s.f.
Bare Shell, Low Floor, City View
Prop.#: 79860","990,034"
Lee Garden Three,CAUSEWAY BAY,"Lee Garden Three
CAUSEWAY BAY
Rental: HKD 983,564 / 58 p.s.f.
Size: 16,958 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 76421","983,564"
The Center,CENTRAL,"The Center
CENTRAL
Rental: HKD 969,020 / 65 p.s.f.
Size: 14,908 s.f.
Fully Fitted, City View
Prop.#: 73407","969,020"
"Nathan Road, 352",JORDAN,"Nathan Road, 352
JORDAN
Rental: HKD 965,500 / 100 p.s.f.
Size: 9,655 s.f.
Bare Shell, Low Floor
Prop.#: 91789","965,500"
"Queen's Road Central, 9",CENTRAL,"Queen's Road Central, 9
CENTRAL
Rental: HKD 963,830 / 70 p.s.f.
Price: HKD 495.7M / 36,000 p.s.f.
Size: 13,769 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 15437","963,830"
"IFC, Two",CENTRAL,"IFC, Two
CENTRAL
Rental: HKD 955,110 / 130 p.s.f.
Size: 7,347 s.f.
Mid Floor
Prop.#: 92055","955,110"
"IFC, One",CENTRAL,"IFC, One
CENTRAL
Rental: HKD 949,900 / 140 p.s.f.
Size: 6,785 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 91374","949,900"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 948,970 / 110 p.s.f.
Size: 8,627 s.f.
High Floor
Prop.#: 91941","948,970"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 948,970 / 110 p.s.f.
Size: 8,627 s.f.
High Floor
Prop.#: 91940","948,970"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 948,970 / 110 p.s.f.
Size: 8,627 s.f.
Low Floor
Prop.#: 91937","948,970"
Cheung Kong Center II,CENTRAL,"Cheung Kong Center II
CENTRAL
Rental: HKD 948,970 / 110 p.s.f.
Size: 8,627 s.f.
Mid Floor
Prop.#: 91687","948,970"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 931,023 / 93 p.s.f.
Size: 10,011 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 66933","931,023"
V Heun Building,CENTRAL,"V Heun Building
CENTRAL
Rental: HKD 913,320 / 40 p.s.f.
Price: HKD 342.5M / 15,000 p.s.f.
Size: 22,833 s.f.
Low Floor, City View
Prop.#: 45226","913,320"
K11 Atelier King's Road,QUARRY BAY,"K11 Atelier King's Road
QUARRY BAY
Rental: HKD 908,550 / 45 p.s.f.
Size: 20,190 s.f.
Fully Fitted, Mid Floor
Prop.#: 91710","908,550"
Lippo Centre - Tower 1,ADMIRALTY,"Lippo Centre - Tower 1
ADMIRALTY
Rental: HKD 902,500 / 50 p.s.f.
Size: 18,050 s.f.
Fully Fitted, Sea View
Prop.#: 30725","902,500"
Peninsula Centre,TSIM SHA TSUI,"Peninsula Centre
TSIM SHA TSUI
Rental: HKD 879,840 / 18 p.s.f.
Price: HKD 420.0M / 8,750 p.s.f.
Size: 48,000 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 39172","879,840"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 876,231 / 83 p.s.f.
Size: 10,557 s.f.
High Floor
Prop.#: 91983","876,231"
One Peking,TSIM SHA TSUI,"One Peking
TSIM SHA TSUI
Rental: HKD 871,500 / 70 p.s.f.
Size: 12,450 s.f.
Bare Shell, Mid Floor, Sea View
Prop.#: 70889","871,500"
