Name,coords
AsiaWorld-Expo,"(22.321343, 113.943288)"
Airport,"(22.3158675, 113.9365616)"
Tsing Yi,"(22.3584978, 114.107672)"
Kowloon,"(22.304306, 114.161475)"
Hong Kong,"(22.284377, 114.158056)"
Sunny Bay,"(22.332096, 114.02885)"
Disneyland Resort,"(22.3153543, 114.0451876)"
Lo Wu,"(22.5282191, 114.1133432)"
Sheung Shui,"(22.501007, 114.1282358)"
Fanling,"(22.4920513, 114.139221)"
Tai Wo,"(22.450572, 114.16094)"
Tai Po Market,"(22.4445559, 114.1704893)"
University,"(22.413639, 114.210284)"
Fo Tan,"(22.3959, 114.198917)"
Sha Tin,"(22.383936, 114.187994)"
Tai Wai,"(22.373284, 114.178152)"
Kowloon Tong,"(22.336918, 114.175852)"
Mong Kok East,"(22.32205, 114.1726)"
Hung Hom,"(22.30289, 114.1821)"
Exhibition Centre,"(22.2817057, 114.1747499)"
Admiralty,"(22.279412, 114.164559)"
Lok Ma Chau,"(22.5098835, 114.0815055)"
Chai Wan,"(22.264498, 114.23635)"
Heng Fa Chuen,"(22.27681, 114.2399117)"
Shau Kei Wan,"(22.2817513, 114.2227148)"
Sai Wan Ho,"(22.282369, 114.222449)"
Tai Koo,"(22.2851, 114.214515)"
Quarry Bay,"(22.2878748, 114.2097467)"
North Point,"(22.2915937, 114.2001799)"
Fortress Hill,"(22.288272, 114.193803)"
Tin Hau,"(22.2824215, 114.1917258)"
Causeway Bay,"(22.2803747, 114.1850421)"
Wan Chai,"(22.2775487, 114.1731527)"
Central,"(22.2818557, 114.1574078)"
Sheung Wan,"(22.2865601, 114.1518714)"
Sai Ying Pun,"(22.2864761, 114.1417471)"
HKU,"(22.284424, 114.134295)"
Kennedy Town,"(22.2812467, 114.1288825)"
Tiu Keng Leng,"(22.3044835, 114.2528669)"
Yau Tong,"(22.29811, 114.23697)"
Lam Tin,"(22.30671, 114.233702)"
Kwun Tong,"(22.311657, 114.226971)"
Ngau Tau Kok,"(22.315134, 114.219628)"
Kowloon Bay,"(22.323502, 114.2140758)"
Choi Hung,"(22.334206, 114.210056)"
Diamond Hill,"(22.340017, 114.201698)"
Wong Tai Sin,"(22.341141, 114.195332)"
Lok Fu,"(22.338015, 114.187606)"
Shek Kip Mei,"(22.3328573, 114.1665327)"
Prince Edward,"(22.325736, 114.167909)"
Mong Kok,"(22.3194068, 114.1692081)"
Yau Ma Tei,"(22.313734, 114.169815)"
Ho Man Tin,"(22.3093594, 114.1827294)"
Whampoa,"(22.304703, 114.190194)"
Wu Kai Sha,"(22.429074, 114.2442307)"
Ma On Shan,"(22.4276756, 114.2402751)"
Heng On,"(22.41732, 114.2257)"
Tai Shui Hang,"(22.407132, 114.222741)"
Shek Mun,"(22.387694, 114.208349)"
City One,"(22.382832, 114.203779)"
Sha Tin Wai,"(22.377823, 114.197615)"
Che Kung Temple,"(22.37447, 114.185672)"
Hin Keng,"(22.363834, 114.17079)"
Kai Tak,"(22.332406, 114.19903)"
Sung Wong Toi,"(22.32591, 114.1913)"
To Kwa Wan,"(22.3181169, 114.1878494)"
East Tsim Sha Tsui,"(22.295263, 114.174586)"
Austin,"(22.306023, 114.165722)"
Nam Cheong,"(22.3267772, 114.1536799)"
Mei Foo,"(22.3366557, 114.140153)"
Tsuen Wan West,"(22.3684317, 114.109705)"
Kam Sheung Road,"(22.4341977, 114.0633652)"
Yuen Long,"(22.446272, 114.034924)"
Long Ping,"(22.44759, 114.025635)"
Tin Shui Wai,"(22.4606419, 114.0041996)"
Siu Hong,"(22.409959, 113.978413)"
Tuen Mun,"(22.394986, 113.974383)"
Tung Chung,"(22.289255, 113.9414358)"
Lai King,"(22.34817, 114.126345)"
Olympic,"(22.317771, 114.16022)"
Po Lam,"(22.322478, 114.257206)"
Hang Hau,"(22.3172623, 114.2672828)"
Tseung Kwan O,"(22.306961, 114.26022)"
LOHAS Park,"(22.2948541, 114.2729928)"
Tsuen Wan,"(22.3737098, 114.1177068)"
Tai Wo Hau,"(22.370609, 114.124474)"
Kwai Hing,"(22.363471, 114.131255)"
Kwai Fong,"(22.3578109, 114.1298151)"
Lai Chi Kok,"(22.3328573, 114.1665327)"
Cheung Sha Wan,"(22.3328573, 114.1665327)"
Sham Shui Po,"(22.3328573, 114.1665327)"
Jordan,"(22.30479, 114.17166)"
Tsim Sha Tsui,"(22.29849, 114.1719331)"
Ocean Park,"(22.2488032, 114.1746826)"
Wong Chuk Hang,"(22.248224, 114.168089)"
Lei Tung,"(22.2434232, 114.1554591)"
South Horizons,"(22.2428603, 114.1487444)"
